time_s,liquid_volume_m3,gas_volume_m3,vapour_water_volume_m3,phaseChange_mDot_integ
2.0,2.3761334884157096e-05,1.8238663417340933e-05,6.633090833965313e-08,-2.05022169134308e-08
4.0,2.376293213964024e-05,1.823706616276177e-05,9.41282826821023e-08,-1.6488366908026797e-08
6.0,2.3764614954981094e-05,1.8235383344150237e-05,9.982601670563051e-08,-1.6853921490072764e-08
8.0,2.376597599784382e-05,1.8234022301735906e-05,9.05081658474021e-08,-2.615489096498778e-08
10.0,2.376656582573264e-05,1.8233432477200807e-05,6.986619999055101e-08,-2.6911949994719653e-08
12.0,2.376771327574188e-05,1.8232285028599197e-05,7.812076317749674e-08,-2.0059963289011387e-08
14.0,2.376895308918897e-05,1.8231045212235444e-05,8.426169061178552e-08,-2.269587907207844e-08
16.0,2.3770207182563468e-05,1.822979111886468e-05,8.615520780935344e-08,-2.4093473704090355e-08
18.0,2.377146249476657e-05,1.822853580797614e-05,7.497425260722064e-08,-3.45868563361311e-08
20.0,2.377275250039523e-05,1.8227245804919527e-05,7.4691014994871e-08,-3.106715019616851e-08
22.0,2.37742005727695e-05,1.8225797729757542e-05,7.424292172297279e-08,-3.5301982040615887e-08
24.0,2.3775413084173467e-05,1.822458521704963e-05,7.712481954969739e-08,-3.444672653962002e-08
26.0,2.377670243042544e-05,1.822329587271347e-05,7.825812856913656e-08,-3.0621492706390046e-08
28.0,2.377804590008419e-05,1.822195240233827e-05,8.097966822182091e-08,-2.908880381389604e-08
30.0,2.377938672435004e-05,1.8220611577598522e-05,1.0714602456104132e-07,-4.841837609811845e-08
32.0,2.378071604767728e-05,1.82192822546322e-05,6.92427665520369e-08,-5.975687101458196e-08
34.0,2.378211531820585e-05,1.8217882985939142e-05,7.093391658642728e-08,-3.975153151400771e-08
36.0,2.378352397404147e-05,1.8216474331755988e-05,9.826070404464234e-08,-4.073175378822862e-08
38.0,2.378476140566621e-05,1.821523689350821e-05,7.195257328906203e-08,-4.656534398853292e-08
40.0,2.3786080702108135e-05,1.8213917597792634e-05,7.707178806303279e-08,-3.7243045574716066e-08
42.0,2.3787555898683867e-05,1.821244240586758e-05,8.733850776476116e-08,-4.9088668737938965e-08
44.0,2.378896426987903e-05,1.8211034035823692e-05,9.915100017536156e-08,-3.393411368226114e-08
46.0,2.379043277760402e-05,1.8209565522300685e-05,1.2513608757677852e-07,-6.467204132289287e-08
48.0,2.3791710915053127e-05,1.8208287391566344e-05,8.086202035191361e-08,-5.2987765931057794e-08
50.0,2.3792882573261925e-05,1.8207115729074805e-05,8.354623523026864e-08,-5.065964227073117e-08
52.0,2.3794106579235413e-05,1.8205891720264692e-05,8.235260276381732e-08,-5.474505308668942e-08
54.0,2.3795556005823574e-05,1.8204442299421935e-05,8.350929558394101e-08,-5.230459682762225e-08
56.0,2.3796859352699122e-05,1.8203138952334002e-05,8.881062797749721e-08,-5.362452938649509e-08
58.0,2.3798142917868727e-05,1.820185538489992e-05,1.1210642624750906e-07,-6.784315545470879e-08
60.0,2.3799560677155955e-05,1.8200437625536956e-05,8.462847050673669e-08,-5.332743075144296e-08
