time_s,liquid_volume_m3
0,2.4000000000000004e-05
1,2.503248567940844e-05
2,2.5468707291852918e-05
3,2.5653527929750368e-05
4,2.577508847916129e-05
5,2.583669403086908e-05
6,2.592405238135898e-05
7,2.6017740389368384e-05
8,2.610948977306694e-05
9,2.61923358548561e-05
10,2.6263183918972187e-05
11,2.632260559740797e-05
12,2.636530268938658e-05
13,2.639762218648611e-05
14,2.6442684417743795e-05
15,2.6505098776564847e-05
16,2.6568610782938346e-05
17,2.6629548443032232e-05
18,2.668809752166603e-05
19,2.6743918742958062e-05
20,2.6796443197418478e-05
21,2.6845207621503213e-05
22,2.688867705477852e-05
23,2.6925989986388745e-05
24,2.69565046645466e-05
25,2.6984895702077298e-05
26,2.7018183244626258e-05
27,2.706338015057303e-05
28,2.7112312839268546e-05
29,2.7160594781218774e-05
30,2.7207849773046816e-05
31,2.7254139834883324e-05
32,2.7299771957635714e-05
33,2.7344021198732597e-05
34,2.7386295406277824e-05
35,2.742625958182454e-05
36,2.746310197324694e-05
37,2.7495816773841334e-05
38,2.7524554687814075e-05
39,2.7550665415265236e-05
40,2.7578407943863083e-05
41,2.760873688318754e-05
42,2.764453970329385e-05
43,2.7684529229356144e-05
44,2.7722670168495513e-05
45,2.7759933786071866e-05
46,2.779653938484194e-05
47,2.783226002663673e-05
48,2.7866923526625288e-05
49,2.790034737676832e-05
50,2.7933013605872598e-05
51,2.7965047730014935e-05
52,2.7996381023794954e-05
53,2.8025315960283257e-05
54,2.805222242787491e-05
55,2.8076501102162582e-05
56,2.8100102165407206e-05
57,2.812290280316807e-05
58,2.81462077792862e-05
59,2.817101347219977e-05
60,2.8196747031779256e-05
61,2.8222313503802388e-05
62,2.824949007282611e-05
63,2.8275431897081253e-05
64,2.829169499791796e-05
65,2.82853755342008e-05
66,2.8275526829477093e-05
67,2.8269088189953346e-05
68,2.8262662273568104e-05
69,2.825701923725453e-05
70,2.8251480874378953e-05
71,2.8246517265588347e-05
72,2.824201726417715e-05
73,2.82385520620769e-05
74,2.8236062027781154e-05
75,2.8234932934957997e-05
76,2.8235156228503844e-05
77,2.8236457443054443e-05
78,2.8239470372907875e-05
79,2.8243967477599902e-05
80,2.8250335072886286e-05
81,2.8258158688653333e-05
82,2.8264985170763808e-05
