# Wall heat-flux
# Time          	patch           	min             	max             	integral        
1               	wall	5.00876571e+03	5.15201189e+03	2.73159806e+01
2               	wall	2.89963073e+03	3.21191213e+03	1.59732910e+01
3               	wall	1.96803157e+03	2.38924025e+03	1.09737731e+01
4               	wall	1.49317465e+03	1.99365614e+03	8.42576609e+00
5               	wall	1.21495739e+03	1.77997789e+03	6.93573322e+00
6               	wall	1.03284180e+03	1.65327048e+03	5.96149914e+00
7               	wall	9.03718109e+02	1.57276517e+03	5.26908671e+00
8               	wall	8.06983299e+02	1.51908235e+03	4.74638728e+00
9               	wall	7.31760016e+02	1.48207923e+03	4.33419880e+00
10              	wall	6.71781457e+02	1.45599493e+03	3.99850289e+00
11              	wall	6.23145518e+02	1.43733595e+03	3.71832300e+00
12              	wall	5.83265482e+02	1.42386629e+03	3.47995460e+00
13              	wall	5.50334356e+02	1.41409572e+03	3.27401727e+00
14              	wall	5.23029606e+02	1.40699848e+03	3.09384528e+00
15              	wall	5.00346569e+02	1.40185050e+03	2.93455136e+00
16              	wall	4.79851656e+02	1.39813219e+03	2.79245613e+00
17              	wall	4.56827607e+02	1.39546505e+03	2.66472939e+00
18              	wall	4.36617507e+02	1.39357059e+03	2.54915468e+00
19              	wall	4.18890956e+02	1.39224241e+03	2.44396702e+00
20              	wall	4.03368716e+02	1.39132746e+03	2.34773961e+00
21              	wall	3.89809047e+02	1.39071185e+03	2.25930550e+00
22              	wall	3.77998900e+02	1.39031090e+03	2.17770070e+00
23              	wall	3.67747619e+02	1.39006171e+03	2.10212026e+00
24              	wall	3.57657421e+02	1.38991815e+03	2.03188524e+00
25              	wall	3.46938807e+02	1.38984644e+03	1.96641888e+00
26              	wall	3.37346699e+02	1.38982213e+03	1.90522827e+00
27              	wall	3.28791126e+02	1.38982758e+03	1.84788894e+00
28              	wall	3.20129858e+02	1.38985061e+03	1.79403259e+00
29              	wall	3.11770788e+02	1.38988276e+03	1.74333815e+00
30              	wall	3.03723498e+02	1.38991840e+03	1.69552467e+00
31              	wall	2.95837834e+02	1.38995380e+03	1.65034488e+00
32              	wall	2.88112770e+02	1.38998688e+03	1.60757987e+00
33              	wall	2.80677759e+02	1.39001647e+03	1.56703521e+00
34              	wall	2.73581361e+02	1.39004207e+03	1.52853773e+00
35              	wall	2.66822574e+02	1.39006355e+03	1.49193253e+00
36              	wall	2.60383995e+02	1.39008118e+03	1.45708041e+00
37              	wall	2.54219567e+02	1.39009535e+03	1.42385599e+00
38              	wall	2.48340477e+02	1.39010648e+03	1.39214605e+00
39              	wall	2.42719439e+02	1.39011502e+03	1.36184803e+00
40              	wall	2.37326562e+02	1.39012141e+03	1.33286870e+00
41              	wall	2.32163971e+02	1.39012607e+03	1.30512317e+00
42              	wall	2.27214758e+02	1.39012935e+03	1.27853392e+00
43              	wall	2.22452065e+02	1.39013155e+03	1.25303002e+00
44              	wall	2.17877942e+02	1.39013293e+03	1.22854642e+00
45              	wall	2.13480594e+02	1.39013371e+03	1.20502332e+00
46              	wall	2.09247789e+02	1.39013405e+03	1.18240566e+00
47              	wall	2.05164577e+02	1.39013409e+03	1.16064265e+00
48              	wall	2.01229681e+02	1.39013392e+03	1.13968734e+00
49              	wall	1.97434094e+02	1.39013363e+03	1.11949625e+00
50              	wall	1.93770316e+02	1.39013328e+03	1.10002907e+00
51              	wall	1.90231018e+02	1.39013289e+03	1.08124836e+00
52              	wall	1.86807839e+02	1.39013251e+03	1.06311927e+00
53              	wall	1.83496606e+02	1.39013215e+03	1.04560936e+00
54              	wall	1.80292204e+02	1.39013181e+03	1.02868834e+00
55              	wall	1.77189680e+02	1.39013151e+03	1.01232793e+00
56              	wall	1.74183892e+02	1.39013126e+03	9.96501673e-01
57              	wall	1.71270419e+02	1.39013104e+03	9.81184797e-01
