# Wall heat-flux
# Time          	patch           	min             	max             	integral        
1               	wall	9.24965362e+03	9.30978320e+03	5.04355240e+01
2               	wall	5.07199353e+03	6.11774632e+03	2.76825803e+01
3               	wall	3.22798522e+03	5.01258777e+03	1.76422026e+01
4               	wall	2.34688812e+03	4.53980712e+03	1.29232145e+01
5               	wall	1.88903147e+03	4.32436210e+03	1.04597814e+01
6               	wall	1.62180649e+03	4.22037449e+03	9.00692259e+00
7               	wall	1.45015918e+03	4.16730869e+03	8.05524704e+00
8               	wall	1.33252137e+03	4.13874329e+03	7.37978953e+00
9               	wall	1.23799067e+03	4.12260038e+03	6.87058158e+00
10              	wall	1.16396041e+03	4.11291803e+03	6.46944314e+00
11              	wall	1.10325330e+03	4.10691040e+03	6.14298501e+00
12              	wall	1.05332202e+03	4.10309055e+03	5.87062574e+00
13              	wall	1.01003517e+03	4.10056072e+03	5.63894000e+00
14              	wall	9.73305349e+02	4.09883566e+03	5.43875605e+00
15              	wall	9.40542331e+02	4.09764430e+03	5.26360779e+00
16              	wall	9.12084940e+02	4.09681331e+03	5.10877614e+00
17              	wall	8.86273719e+02	4.09621878e+03	4.97072189e+00
18              	wall	8.63488762e+02	4.09578224e+03	4.84672961e+00
19              	wall	8.42511308e+02	4.09545888e+03	4.73467412e+00
20              	wall	8.23853439e+02	4.09521739e+03	4.63285951e+00
21              	wall	8.06408232e+02	4.09503290e+03	4.53991014e+00
22              	wall	7.90769004e+02	4.09488881e+03	4.45469350e+00
23              	wall	7.76099061e+02	4.09477556e+03	4.37626591e+00
24              	wall	7.62755116e+02	4.09468640e+03	4.30383348e+00
25              	wall	7.50302329e+02	4.09461543e+03	4.23672224e+00
26              	wall	7.38718276e+02	4.09455812e+03	4.17435565e+00
27              	wall	7.28046889e+02	4.09451161e+03	4.11623694e+00
28              	wall	7.17864738e+02	4.09447394e+03	4.06193572e+00
29              	wall	7.08476819e+02	4.09444327e+03	4.01107746e+00
30              	wall	6.99589670e+02	4.09441798e+03	3.96333477e+00
31              	wall	6.91221542e+02	4.09439693e+03	3.91842042e+00
32              	wall	6.83426223e+02	4.09437935e+03	3.87608156e+00
33              	wall	6.75901738e+02	4.09436463e+03	3.83609498e+00
34              	wall	6.68863157e+02	4.09435219e+03	3.79826307e+00
35              	wall	6.62212725e+02	4.09434157e+03	3.76241035e+00
36              	wall	6.55801160e+02	4.09433244e+03	3.72838050e+00
37              	wall	6.49783109e+02	4.09432454e+03	3.69603391e+00
38              	wall	6.44027051e+02	4.09431770e+03	3.66524550e+00
39              	wall	6.38496759e+02	4.09431172e+03	3.63590288e+00
40              	wall	6.33275558e+02	4.09430647e+03	3.60790479e+00
41              	wall	6.28246529e+02	4.09430182e+03	3.58115974e+00
42              	wall	6.23414691e+02	4.09429766e+03	3.55558499e+00
43              	wall	6.18834866e+02	4.09429394e+03	3.53110538e+00
44              	wall	6.14406859e+02	4.09429063e+03	3.50765245e+00
45              	wall	6.10141010e+02	4.09428765e+03	3.48516374e+00
46              	wall	6.06080118e+02	4.09428489e+03	3.46358223e+00
47              	wall	6.02156562e+02	4.09428232e+03	3.44285550e+00
48              	wall	5.98356416e+02	4.09428001e+03	3.42293530e+00
49              	wall	5.94729855e+02	4.09427794e+03	3.40377709e+00
50              	wall	5.91234939e+02	4.09427607e+03	3.38533965e+00
51              	wall	5.87824339e+02	4.09427434e+03	3.36758467e+00
52              	wall	5.84559440e+02	4.09427277e+03	3.35047640e+00
53              	wall	5.81425762e+02	4.09427134e+03	3.33398143e+00
54              	wall	5.78350237e+02	4.09427005e+03	3.31806838e+00
55              	wall	5.75394049e+02	4.09426886e+03	3.30270776e+00
56              	wall	5.72549876e+02	4.09426778e+03	3.28787176e+00
57              	wall	5.69782294e+02	4.09426679e+03	3.27353412e+00
58              	wall	5.67087513e+02	4.09426590e+03	3.25966999e+00
59              	wall	5.64490106e+02	4.09426508e+03	3.24625585e+00
60              	wall	5.61983902e+02	4.09426433e+03	3.23326940e+00
61              	wall	5.59519495e+02	4.09426364e+03	3.22068949e+00
62              	wall	5.57132671e+02	4.09426302e+03	3.20849604e+00
63              	wall	5.54824930e+02	4.09426245e+03	3.19667001e+00
64              	wall	5.52587306e+02	4.09426193e+03	3.18519337e+00
65              	wall	5.50381139e+02	4.09426145e+03	3.17404899e+00
66              	wall	5.48244180e+02	4.09426102e+03	3.16322067e+00
67              	wall	5.46170758e+02	4.09426063e+03	3.15269305e+00
68              	wall	5.44154969e+02	4.09426027e+03	3.14245158e+00
69              	wall	5.42164608e+02	4.09425995e+03	3.13248247e+00
70              	wall	5.40229530e+02	4.09425966e+03	3.12277268e+00
71              	wall	5.38345650e+02	4.09425940e+03	3.11330987e+00
72              	wall	5.36509500e+02	4.09425916e+03	3.10408235e+00
73              	wall	5.34701905e+02	4.09425895e+03	3.09507906e+00
74              	wall	5.32930300e+02	4.09425875e+03	3.08628958e+00
75              	wall	5.31200890e+02	4.09425858e+03	3.07770403e+00
76              	wall	5.29510185e+02	4.09425843e+03	3.06931311e+00
77              	wall	5.27856681e+02	4.09425829e+03	3.06110801e+00
78              	wall	5.26222959e+02	4.09425817e+03	3.05308044e+00
79              	wall	5.24620405e+02	4.09425806e+03	3.04522257e+00
80              	wall	5.23050340e+02	4.09425797e+03	3.03752702e+00
81              	wall	5.21509669e+02	4.09425790e+03	3.02998683e+00
82              	wall	5.19997415e+02	4.09425783e+03	3.02259543e+00
83              	wall	5.18510002e+02	4.09425778e+03	3.01534664e+00
84              	wall	5.17037440e+02	4.09425773e+03	3.00823462e+00
85              	wall	5.15590071e+02	4.09425770e+03	3.00125386e+00
86              	wall	5.14165224e+02	4.09425767e+03	2.99439919e+00
87              	wall	5.12762899e+02	4.09425766e+03	2.98766569e+00
88              	wall	5.11381143e+02	4.09425765e+03	2.98104876e+00
89              	wall	5.10019484e+02	4.09425764e+03	2.97454403e+00
90              	wall	5.08675482e+02	4.09425764e+03	2.96814743e+00
91              	wall	5.07347653e+02	4.09425765e+03	2.96185507e+00
92              	wall	5.06033483e+02	4.09425767e+03	2.95566332e+00
93              	wall	5.04735429e+02	4.09425769e+03	2.94956874e+00
94              	wall	5.03453289e+02	4.09425772e+03	2.94356810e+00
95              	wall	5.02184696e+02	4.09425775e+03	2.93765827e+00
96              	wall	5.00931083e+02	4.09425778e+03	2.93183628e+00
97              	wall	4.99690490e+02	4.09425786e+03	2.92609935e+00
98              	wall	4.98463014e+02	4.09425791e+03	2.92044495e+00
99              	wall	4.97246705e+02	4.09425795e+03	2.91487070e+00
