"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,3,0,2.169,1,0,22,-36.539,0
0.001668,3.0007,-2.1761e-21,2.1663,1,0.069264,22.01,-36.47,0
0.0032677,3.0014,-4.3538e-21,2.1636,1,0.13853,22.02,-36.401,0
0.0047993,3.0021,-6.5333e-21,2.1609,1,0.20779,22.03,-36.333,0
0.006263,3.0027,-8.7145e-21,2.1583,1,0.27706,22.04,-36.264,0
0.007659,3.0034,-1.0897e-20,2.1556,1,0.34632,22.05,-36.196,0
0.0089874,3.0041,-1.3082e-20,2.153,1,0.41559,22.06,-36.127,0
0.0099636,3.0058,-1.1935e-20,2.1473,1,0.48485,22.07,-36.059,0
0.010842,3.0076,-1.0177e-20,2.1411,1,0.55411,22.08,-35.99,0
0.011664,3.0094,-8.2785e-21,2.135,1,0.62338,22.09,-35.922,0
0.01243,3.0112,-6.2396e-21,2.129,1,0.69264,22.1,-35.853,0
0.01314,3.013,-4.0608e-21,2.1229,1,0.76191,22.11,-35.785,0
0.013795,3.0148,-1.7424e-21,2.117,1,0.83117,22.12,-35.716,0
0.014188,3.0172,1.3071e-21,2.109,1,0.90043,22.13,-35.648,0
0.014456,3.0199,4.5727e-21,2.1002,1,0.9697,22.14,-35.579,0
0.014697,3.0226,7.5723e-21,2.0915,1,1.039,22.15,-35.51,0
0.014911,3.0253,1.0265e-20,2.0829,1,1.1082,22.16,-35.442,0
0.015091,3.028,1.2878e-20,2.0744,1,1.1775,22.17,-35.373,0
0.015237,3.0307,1.541e-20,2.0659,1,1.2468,22.18,-35.305,0
0.015209,3.0337,1.5848e-20,2.0563,1,1.316,22.19,-35.236,0
0.014998,3.0371,1.4077e-20,2.0456,1,1.3853,22.2,-35.168,0
0.01477,3.0405,1.2504e-20,2.0349,1,1.4545,22.21,-35.099,0
0.014524,3.0439,1.1129e-20,2.0243,1,1.5238,22.22,-35.031,0
0.01426,3.0473,9.9516e-21,2.0137,1,1.5931,22.23,-34.962,0
0.013979,3.0507,8.9707e-21,2.003,1,1.6623,22.24,-34.894,0
0.013649,3.0541,7.8193e-21,1.9922,1,1.7316,22.25,-34.825,0
0.013158,3.0579,5.1647e-21,1.9803,1,1.8009,22.26,-34.757,0
0.012664,3.0616,2.7492e-21,1.9684,1,1.8701,22.27,-34.688,0
0.012165,3.0654,5.7232e-22,1.9565,1,1.9394,22.28,-34.619,0
0.011662,3.0692,-1.3665e-21,1.9446,1,2.0087,22.29,-34.551,0
